throttle,steering,speed,points,position,direction
1.0,0.0,0.0,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.829879584135, 'y': 28131.913777436108, 'z': 31.69095318967713}","{'x': 0.9981411455187577, 'y': 0.060731115597342185, 'z': 0.005097570088246711}"
1.0,0.0,0.0,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.828787895312, 'y': 28131.913855988096, 'z': 31.69073971363776}","{'x': 0.9981410336456267, 'y': 0.06073111515861424, 'z': 0.005119433995179662}"
1.0,0.0,0.0,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.820938580642, 'y': 28131.914499700513, 'z': 31.686991579055736}","{'x': 0.9981399622229405, 'y': 0.06073110992442291, 'z': 0.005324293468095913}"
1.0,0.0,0.03246109560132027,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.788864092522, 'y': 28131.916547120676, 'z': 31.68531287019175}","{'x': 0.9981389539725762, 'y': 0.06073118253275393, 'z': 0.0055092677103855585}"
1.0,0.0,0.06694485992193222,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.788864092522, 'y': 28131.916547120676, 'z': 31.68531287019175}","{'x': 0.9981389539725762, 'y': 0.06073118253275393, 'z': 0.0055092677103855585}"
1.0,0.0,0.0,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.741053595451, 'y': 28131.919517954935, 'z': 31.684602700768963}","{'x': 0.99813791427091, 'y': 0.060731302796393105, 'z': 0.0056932377054100605}"
1.0,0.0,0.06328947842121124,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.702626112642, 'y': 28131.921878046054, 'z': 31.684759486545154}","{'x': 0.9981371685407744, 'y': 0.060731407685222255, 'z': 0.005821417179447024}"
1.0,0.0,0.13858069479465485,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.641073571823, 'y': 28131.925655531944, 'z': 31.68488850459123}","{'x': 0.9981360773246083, 'y': 0.06073157687707989, 'z': 0.006003891493605454}"
1.0,0.0,0.2269124835729599,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.553416676537, 'y': 28131.931031186457, 'z': 31.684931755934542}","{'x': 0.998134644362556, 'y': 0.06073181852712764, 'z': 0.006235217848806805}"
1.0,0.0,0.32931941747665405,"[{'x': -5294.771418337848, 'y': 28490.137424668654, 'z': 0.0}, {'x': -3513.512835269001, 'y': 28490.137424668654, 'z': 0.0}, {'x': -1732.2542522001531, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 28490.137424668654, 'z': 0.0}, {'x': 49.004330868694524, 'y': 26708.878841599806, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24927.62025853096, 'z': 0.0}, {'x': 49.004330868694524, 'y': 24036.990966996535, 'z': 0.0}, {'x': 49.004330868694524, 'y': 23146.36167546211, 'z': 0.0}, {'x': 939.6336224031184, 'y': 22255.732383927687, 'z': 0.0}]","{'x': -6939.4363934148405, 'y': 28131.9382029756, 'z': 31.6848406814279}","{'x': 0.9981328653202503, 'y': 0.06073214115102745, 'z': 0.0065107755911964615}"
